Intensity Correction (CLAHE) - Dice by condition
Dataset  Condition             Dice     IoU    Sens    Spec
----------------------------------------------------------
STARE    Baseline (orig)     0.5349  0.3651  0.5164  0.9659
STARE    TTA (orig)          0.5396  0.3695  0.5261  0.9651
STARE    Baseline (CLAHE)    0.4582  0.2972  0.7319  0.8796
STARE    TTA (CLAHE)         0.4561  0.2955  0.7429  0.8754
CHASE    Baseline (orig)     0.3923  0.2440  0.2921  0.9853
CHASE    TTA (orig)          0.4114  0.2589  0.2985  0.9886
CHASE    Baseline (CLAHE)    0.3908  0.2428  0.6665  0.8700
CHASE    TTA (CLAHE)         0.3963  0.2471  0.6845  0.8682
HRF      Baseline (orig)     0.5501  0.3794  0.6357  0.9436
HRF      TTA (orig)          0.5540  0.3831  0.6527  0.9413
HRF      Baseline (CLAHE)    0.3779  0.2329  0.8824  0.7672
HRF      TTA (CLAHE)         0.3668  0.2246  0.8980  0.7497
